,Days_Shifted,Correlation_Coefficient
573,-27,-0.11462119191554733
572,-28,-0.1142879948781893
571,-29,-0.11397253498107826
570,-30,-0.11360885275737759
569,-31,-0.11327055912020895
568,-32,-0.11295769509632773
567,-33,-0.11265197035680795
566,-34,-0.11232053804005039
565,-35,-0.11190597850508169
564,-36,-0.11145248823137364
563,-37,-0.11101998091986705
562,-38,-0.11060384247306997
561,-39,-0.11019870113794629
560,-40,-0.1098248290996096
559,-41,-0.10943812759956632
558,-42,-0.10896764080391062
557,-43,-0.10851844857851994
556,-44,-0.10817762877942026
555,-45,-0.10779011869573586
554,-46,-0.10741894428197966
553,-47,-0.10696795561643839
552,-48,-0.10657560010346795
551,-49,-0.10629824422907774
550,-50,-0.1061210064447967
549,-51,-0.1059752089284554
548,-52,-0.10585623528416988
547,-53,-0.10571973659717974
546,-54,-0.1056211386559764
545,-55,-0.10549904934148432
544,-56,-0.10534413287007442
543,-57,-0.10515004964357227
542,-58,-0.10495689574792647
541,-59,-0.10477666724869851
540,-60,-0.10457746848559941
539,-61,-0.10427687585009708
538,-62,-0.1041593629400892
537,-63,-0.10396539848618203
536,-64,-0.10377091164006184
535,-65,-0.10355336418866588
534,-66,-0.10335717080188597
533,-67,-0.10309471404068916
532,-68,-0.10292522633359504
531,-69,-0.10277041072341964
530,-70,-0.10260423529921918
529,-71,-0.1024135325989596
528,-72,-0.10213647534714958
527,-73,-0.1017418809162145
526,-74,-0.10138655906013457
525,-75,-0.10102109865909456
524,-76,-0.10066410157634784
523,-77,-0.1002813546915734
522,-78,-0.09980338843101702
521,-79,-0.09929221086225222
520,-80,-0.09882792730363546
519,-81,-0.0984021154609229
518,-82,-0.09794052935650004
517,-83,-0.09751923964365816
516,-84,-0.09711709589101218
515,-85,-0.09665416049840578
514,-86,-0.09610713304567618
513,-87,-0.09557900536318495
512,-88,-0.09515311096623603
511,-89,-0.09471085333339596
510,-90,-0.09439612483794683
509,-91,-0.09403649012457946
508,-92,-0.09348337736085303
507,-93,-0.09287113761284281
506,-94,-0.09223233342805492
505,-95,-0.09157152816174806
504,-96,-0.09097765605884747
503,-97,-0.09042001649860044
502,-98,-0.08991964169040959
501,-99,-0.08937190902986157
450,-150,-0.08907511030519102
451,-149,-0.08906912368505196
449,-151,-0.0890266904791678
452,-148,-0.08902163844298033
448,-152,-0.08900506349095276
447,-153,-0.08897262915001325
446,-154,-0.08893976831841714
453,-147,-0.0889297391500989
500,-100,-0.08884402116780361
