,Days_Shifted,Correlation_Coefficient
34,-566,0.2355926910707128
781,181,0.23577103806163277
792,192,0.23621761960807114
804,204,0.23630282136655828
494,-106,0.23653309876288184
995,395,0.2381080180817123
744,144,0.23844856683795762
800,200,0.23849015749316851
316,-284,0.23861870701032742
1084,484,0.23887152668723863
173,-427,0.2397178130728681
1092,492,0.24030033753438243
803,203,0.24047796103435243
1096,496,0.2405536556347641
778,178,0.24063567407299138
119,-481,0.24087946838674335
476,-124,0.24112151854458566
782,182,0.24145004604970488
700,100,0.24174000468084655
801,201,0.242017765822784
653,53,0.24219539960808262
786,186,0.24260864512258096
118,-482,0.24347123059374587
802,202,0.24355574728057752
32,-568,0.24357440382363937
791,191,0.2440426131073885
28,-572,0.2440465890479597
783,183,0.24424085832754033
785,185,0.2444913776339184
745,145,0.2452477445703816
18,-582,0.24528096426216084
787,187,0.24542384424965932
117,-483,0.24582041805853666
315,-285,0.24597265436563487
477,-123,0.2461502821560022
784,184,0.2461522970457576
699,99,0.24667647638596274
764,164,0.24673836990034864
1144,544,0.24677105801289784
654,54,0.24768247565715754
763,163,0.24780171620916527
788,188,0.2478828689763803
478,-122,0.2482169329293979
284,-316,0.24843637972103924
313,-287,0.24903738691310373
1077,477,0.24923566962281626
777,177,0.24924904173671036
314,-286,0.2496625035635506
789,189,0.2502186695509466
790,190,0.250877835258798
698,98,0.25119649245353903
762,162,0.2512164784284392
765,165,0.25135426097607394
746,146,0.25147101427327256
493,-107,0.251524805280613
483,-117,0.2520247259095469
479,-121,0.2524833086601239
655,55,0.2526031883962361
480,-120,0.2536096690697674
761,161,0.25458143660693877
482,-118,0.25505291262623475
33,-567,0.255850628595517
996,396,0.2561674890648778
481,-119,0.2567226635808201
747,147,0.2571131059833137
312,-288,0.2573617879975747
776,176,0.2578218062276629
760,160,0.25790318034475823
766,166,0.2587467596517656
484,-116,0.2590629338974858
492,-108,0.2590636511646065
697,97,0.2595462026690795
759,159,0.2601789846105243
758,158,0.26029141274928347
656,56,0.2609151110803515
757,157,0.2625371766387541
491,-109,0.262650353777254
1076,476,0.2641320785671062
748,148,0.2648365610003808
756,156,0.26587492677906904
29,-571,0.2666838196837685
485,-115,0.26668868799591405
775,175,0.2668692017208834
755,155,0.2671174088871983
696,96,0.267754926673341
767,167,0.2696642943836674
26,-574,0.27000539605370566
311,-289,0.2701690365705907
120,-480,0.2708689581272146
754,154,0.27097983053121344
285,-315,0.27285049955318774
1164,564,0.27309325302427406
657,57,0.2734721732869666
310,-290,0.27381261847922395
486,-114,0.273927470584231
490,-110,0.27394503189992203
774,174,0.2741207896989893
1075,475,0.27432160599659006
749,149,0.27446838373475074
768,168,0.27531931876561405
172,-428,0.27621974240208763
1095,495,0.276432977996331
695,95,0.2767356380229105
997,397,0.27697336807600165
309,-291,0.2782123579628928
1093,493,0.27899279076262873
753,153,0.2796012370379263
489,-111,0.28050824417832404
769,169,0.280593892842045
773,173,0.28064002181983166
1145,545,0.28105649190983967
771,171,0.2811766374164128
772,172,0.2813867889355276
487,-113,0.28167049568323554
770,170,0.2820692214367016
488,-112,0.28364938075648183
750,150,0.2843887992781995
1074,474,0.28628704128632976
694,94,0.2864455012057285
