,Days_Shifted,Correlation_Coefficient
946,346,-0.0470208391835661
1005,405,-0.04669761649706497
783,183,-0.04659026133133889
242,-358,-0.04612084394287751
299,-301,-0.046080488040787244
289,-311,-0.046043465238451646
781,181,-0.04603551859442571
769,169,-0.04579559815628325
337,-263,-0.04576035210338467
613,13,-0.04543468728974928
412,-188,-0.0453544381485643
943,343,-0.044895485281385636
1006,406,-0.04445519161229985
358,-242,-0.04413462673063921
762,162,-0.043967656563881914
494,-106,-0.043928921506977414
629,29,-0.043785911074079975
935,335,-0.043455868386042255
622,22,-0.04330582650047955
273,-327,-0.043303778873571536
882,282,-0.04329672448135088
274,-326,-0.04277680888362509
612,12,-0.04272394918559442
261,-339,-0.042262676952702756
853,253,-0.04172320535303456
450,-150,-0.04151913226117879
971,371,-0.04146777050586561
776,176,-0.041385497867889275
797,197,-0.0411842561717709
683,83,-0.040775820144757176
768,168,-0.04064812654414984
857,257,-0.040187175641163586
834,234,-0.03995709923042471
495,-105,-0.03970270859295237
814,214,-0.039361146474413
944,344,-0.038908791299495406
704,104,-0.0387008208922424
565,-35,-0.03850926759656594
409,-191,-0.03850776285005823
397,-203,-0.03847891989677432
881,281,-0.03746613656571621
798,198,-0.037235336104933396
793,193,-0.036831160779764074
873,273,-0.036498359886551236
835,235,-0.03572318175463679
1034,434,-0.035203032456690715
933,333,-0.035172255017573685
818,218,-0.0347577052111776
408,-192,-0.03373131161679385
452,-148,-0.0336863444828093
156,-444,-0.03363468267032506
404,-196,-0.03356703250063692
523,-77,-0.03254158613629192
730,130,-0.03248712520466734
727,127,-0.032328497556360206
398,-202,-0.03142944425957105
405,-195,-0.031195713918440452
731,131,-0.030655088985469703
411,-189,-0.030629374368798076
258,-342,-0.030622597712701576
819,219,-0.030461855605599487
643,43,-0.029744969592743434
732,132,-0.029601143605458843
1048,448,-0.029529159090473565
493,-107,-0.02927442778084111
809,209,-0.028423009306446784
942,342,-0.028277639120028317
454,-146,-0.028217727048301715
837,237,-0.028201623733964787
410,-190,-0.02794673018924277
794,194,-0.02785978202112349
647,47,-0.02779534748593782
646,46,-0.027650322988746322
703,103,-0.027479337186471824
496,-104,-0.02742801054178267
728,128,-0.02732023228788127
407,-193,-0.027050942189819068
1029,429,-0.02647852071980298
770,170,-0.02647004832136394
522,-78,-0.026148979555664757
964,364,-0.02524697809024191
831,231,-0.024555367215313532
521,-79,-0.02424604096002143
1004,404,-0.024165819327636402
855,255,-0.023276135781472525
583,-17,-0.023019664032289867
449,-151,-0.022664272849197843
729,129,-0.022511138765212293
440,-160,-0.02229399869227278
836,236,-0.02221166651825847
782,182,-0.022190088845705797
582,-18,-0.021760382997139793
736,136,-0.021601328183852117
725,125,-0.021548075469345694
531,-69,-0.021376156577705193
256,-344,-0.021223435149556047
948,348,-0.020793521314341406
702,102,-0.01969762928793307
715,115,-0.01961321272551223
322,-278,-0.019562546033744722
546,-54,-0.019488555244830816
945,345,-0.01942274812062682
687,87,-0.019289556291148792
915,315,-0.01865637991397277
1024,424,-0.018531085181124105
644,44,-0.017715213584402305
1009,409,-0.017345124734433545
844,244,-0.017076614845972594
808,208,-0.016750964881581412
779,179,-0.016644614202043023
641,41,-0.01663371245219005
761,161,-0.01645329186196917
726,126,-0.016228982610445957
872,272,-0.01582797173927268
498,-102,-0.01578461423270363
820,220,-0.01565007591942829
833,233,-0.015583876990573238
648,48,-0.015265867407044494
963,363,-0.015135265733594045
841,241,-0.015102691605361292
478,-122,-0.014911954787405595
451,-149,-0.014652662149156767
962,362,-0.014095823376707539
642,42,-0.013154374316807672
775,175,-0.013041494993113488
672,72,-0.013014722373445368
477,-123,-0.012820872434230345
994,394,-0.012551519125444265
885,285,-0.0121934273896615
811,211,-0.01210486453629933
822,222,-0.012081195809698896
698,98,-0.011968783369810521
937,337,-0.011958239973075017
700,100,-0.011943044704324493
168,-432,-0.011876238889248509
806,206,-0.011870655420100974
717,117,-0.011695582383483595
649,49,-0.011660879554703607
492,-108,-0.011584744865963061
645,45,-0.011314387451475153
927,327,-0.011213442583005525
499,-101,-0.010683594816488808
738,138,-0.010673678829985902
733,133,-0.010523275112778615
497,-103,-0.010283886901822015
652,52,-0.01010485097239063
500,-100,-0.009860746204180915
850,250,-0.009799220202509843
382,-218,-0.009483977768096652
654,54,-0.00928842930387191
306,-294,-0.009157348402508423
673,73,-0.008868877954552884
688,88,-0.008796367120271714
651,51,-0.008442455850383465
883,283,-0.008190443952800072
520,-80,-0.008154424655645842
439,-161,-0.008121275642164454
399,-201,-0.0076115799676382805
734,134,-0.007277454209707172
719,119,-0.00696216247658052
701,101,-0.006693269864814525
735,135,-0.006400832670676536
724,124,-0.006201851596100459
807,207,-0.006197436973281668
545,-55,-0.005591398048629705
812,212,-0.0054934214590975335
566,-34,-0.005223725831876533
504,-96,-0.0049835206668108695
813,213,-0.004342342844362955
