,Days_Shifted,Correlation_Coefficient
236,-364,0.1979825518076334
425,-175,0.19811585336712648
850,250,0.19854270245545366
426,-174,0.2012839779433758
616,16,0.20179272870436374
873,273,0.20394120392764348
852,252,0.20493882584054618
409,-191,0.2061564982402683
422,-178,0.2064405900261007
606,6,0.20736753963083399
423,-177,0.20890764832111636
612,12,0.21166916620289514
607,7,0.21201660126824892
424,-176,0.21216773097308494
608,8,0.2123920387197032
627,27,0.2135154349761665
853,253,0.2157039431543688
849,249,0.21645269660478786
617,17,0.21701694850989287
605,5,0.21725145338043175
971,371,0.2192575183037588
979,379,0.22152293741330645
838,238,0.2219198279208398
854,254,0.22205237447653633
609,9,0.22387131596511547
965,365,0.22526963527053936
867,267,0.22643831834179484
863,263,0.22781267037113517
611,11,0.23134133281204367
408,-192,0.23169876250188481
610,10,0.2318650867000349
396,-204,0.23194515994236128
855,255,0.23527492042595682
604,4,0.23542830643046148
839,239,0.2378927442495869
626,26,0.2380490903940914
235,-365,0.24018771112729434
618,18,0.24101793907416474
599,-1,0.24618523619900473
859,259,0.24721368778328726
974,374,0.2491705025749278
603,3,0.25152881427888907
862,262,0.25198394813707214
619,19,0.2612479118981291
866,266,0.2613119460436345
625,25,0.2619149519013417
864,264,0.2622219469853439
856,256,0.26232381662283755
397,-203,0.2623887838411698
840,240,0.26257780122272784
858,258,0.2629917547364493
407,-193,0.26371372952081235
861,261,0.2673101837412379
848,248,0.2678047841256062
860,260,0.2712649249187817
602,2,0.2757916492522108
623,23,0.2761554185900748
624,24,0.27681439830946464
857,257,0.2789380880837453
620,20,0.27916489934132876
406,-194,0.28738160121430334
963,363,0.28921208742332316
621,21,0.2898847355606848
226,-374,0.290069349270309
622,22,0.2908970441048191
865,265,0.29781318466648204
964,364,0.3002289559634289
398,-202,0.3062148374866648
601,1,0.30661447351881316
234,-366,0.3108341180974367
972,372,0.312836397137714
600,0,0.31427713814471414
214,-386,0.31447118699580484
224,-376,0.3158066815605455
841,241,0.3167255030025792
405,-195,0.321010790780365
847,247,0.32624958346717337
846,246,0.3379243759894552
989,389,0.3410426947717369
399,-201,0.35249718515769235
842,242,0.3557151990686002
404,-196,0.35738020060737774
845,245,0.36168987947121495
403,-197,0.3730900957210884
225,-375,0.37535879993434856
400,-200,0.3754445389337444
402,-198,0.3782810212769524
401,-199,0.3797728964531455
843,243,0.38738238684333554
844,244,0.39145907963688575
213,-387,0.44141482873600885
978,378,0.468362199237564
975,375,0.5054154783897168
976,376,0.5130605120078113
977,377,0.5809047543794622
212,-388,0.6278299170808567
210,-390,0.6670998826229382
211,-389,0.8204823573361875
990,390,0.949764485584005
207,-393,1.0
0,-600,
1,-599,
2,-598,
3,-597,
4,-596,
5,-595,
6,-594,
7,-593,
8,-592,
9,-591,
10,-590,
11,-589,
12,-588,
13,-587,
14,-586,
15,-585,
16,-584,
17,-583,
18,-582,
19,-581,
20,-580,
21,-579,
22,-578,
23,-577,
24,-576,
25,-575,
26,-574,
27,-573,
28,-572,
29,-571,
